epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.0016836818540468812;0.0011258174199610949;0.000461403134977445;8.264128155133221e-06
1;0.00018153786368202418;5.929584403929766e-06;4.821846687264042e-06;1.647127191972686e-06
2;2.9986231311340816e-06;2.040530716840294e-06;7.008163152022462e-07;4.1623329138928966e-07
3;1.8046413288175245e-06;1.5496899550271337e-06;6.584178890989278e-07;4.101895569874614e-07
4;1.5154638504100149e-06;1.279784441976517e-06;6.97478697020415e-07;4.6916284190956503e-07
5;1.288034582103137e-06;1.0669242556105019e-06;7.652798785784398e-07;5.540525194192014e-07
6;1.1337348269080394e-06;9.193533401230525e-07;8.118499295051151e-07;6.062028887754423e-07
7;7.912041155577754e-07;6.523193860630272e-07;7.840434932404605e-07;6.599789230676834e-07
8;7.405579367514292e-07;6.17515581780026e-07;6.799660354772641e-07;5.581783852903754e-07
9;7.171295237640152e-07;5.953853019491362e-07;6.780771286685194e-07;5.555712050409056e-07
10;7.019924055384763e-07;5.809012577628891e-07;9.184147984342417e-07;7.994524366949918e-07
11;6.810665240664093e-07;5.608301307802321e-07;7.16027784619655e-07;5.960247335679014e-07
12;5.970041456748731e-07;4.844903287448687e-07;6.855137257844035e-07;5.787218810837658e-07
13;5.791640091956651e-07;4.752428708343359e-07;6.65609434236103e-07;5.637756999021803e-07
0;0.03240644186735153;0.02880765125155449;0.0036017592065036297;5.347484602680197e-06
1;0.003607944119721651;4.4929663999937475e-05;0.003485598135739565;1.0665478839655407e-05
2;0.0030966561753302813;1.133211662818212e-05;0.0025160841178148985;1.0302937880624086e-05
3;0.001881250413134694;9.570047950546723e-06;0.0013677115784958005;7.5509283306018915e-06
4;0.0010682374704629183;7.72945804783376e-06;0.000803030445240438;4.7155031097645406e-06
5;0.0006083233165554702;5.9062326727143954e-06;0.00044299178989604115;2.7243513613939285e-06
6;0.0003161565982736647;4.235195774526801e-06;0.0001929631835082546;1.5305143961086287e-06
7;0.00012463019811548293;3.289022970420774e-06;6.962995394133031e-05;1.2838977454521228e-06
8;4.2442108679097146e-05;2.748017323028762e-06;2.17234392039245e-05;1.0039404969575116e-06
9;1.5022805200715084e-05;2.4236180706793675e-06;8.22729998617433e-06;9.757037560120807e-07
10;7.182657554949401e-06;2.2549202185473405e-06;4.246986463840585e-06;9.131731530942488e-07
11;4.743390036310302e-06;2.1594462396024028e-06;2.7753496851801174e-06;7.21988499208237e-07
12;3.842389560304582e-06;2.078093757518218e-06;2.4057501377683366e-06;8.340305157616967e-07
13;3.4459626476746053e-06;1.930808593897382e-06;2.0339691673143534e-06;5.756128871325927e-07
14;3.321520352983498e-06;1.9046841543968185e-06;1.9860958673234563e-06;6.01124781951512e-07
15;3.2213772556133335e-06;1.870197365860804e-06;1.8205640799351386e-06;5.035697654420801e-07
16;3.137907242489746e-06;1.8495613858249271e-06;1.7804221670303377e-06;5.166743335394131e-07
17;3.075954055020702e-06;1.8339377447773586e-06;1.6846009884829982e-06;4.668287942877214e-07
18;3.0079563657636754e-06;1.7983546740651946e-06;1.7607418385523488e-06;5.604688908533717e-07
19;2.9830855510226684e-06;1.7933456319951802e-06;1.6846181551954942e-06;5.055778729001759e-07
20;2.9485258892236743e-06;1.780574393706047e-06;1.623043317522388e-06;4.6436292677753954e-07
21;2.9115869892848423e-06;1.759563133418851e-06;1.7117688457801705e-06;5.688445980922552e-07
22;2.884968807848054e-06;1.753944616211811e-06;1.6215607274716604e-06;5.015650117456971e-07
23;2.866169779736083e-06;1.7533468508190708e-06;1.5753905699966708e-06;4.706041636381997e-07
24;2.852674469977501e-06;1.7519481616545818e-06;1.5568754179184907e-06;4.618778177700733e-07
25;2.827348680511932e-06;1.739968183755991e-06;1.5404466466861777e-06;4.5989895625098143e-07
26;2.8039976314175874e-06;1.7320387541985838e-06;1.5313803487515543e-06;4.675998184211494e-07
27;2.7897933705389732e-06;1.7310436533080065e-06;1.5010257357062073e-06;4.479682331748336e-07
28;2.794793772409321e-06;1.7440582951167016e-06;1.4882789400871843e-06;4.4134793597550015e-07
29;2.7592116111918585e-06;1.7185544720632606e-06;1.470036636419536e-06;4.3317626818861754e-07
30;2.7525500172487227e-06;1.720572527119657e-06;1.4906220258126268e-06;4.642008661903674e-07
31;2.7436879008746473e-06;1.7217804497704492e-06;1.513398160568613e-06;4.978945753464359e-07
32;2.7158787361258874e-06;1.7071623688025284e-06;1.4160308410282596e-06;4.127116426388966e-07
33;2.6883701593760634e-06;1.6919119616432e-06;1.4066586118133273e-06;4.1653063931335055e-07
34;2.6831783088709926e-06;1.6935426856434788e-06;1.388552732350945e-06;4.003714195732755e-07
35;2.6707293727668002e-06;1.6845591517267167e-06;1.4581852383344085e-06;4.7451561613343074e-07
36;2.6508701012062375e-06;1.6741352055760217e-06;1.4214359680408961e-06;4.505772039919975e-07
37;2.64751133727259e-06;1.6817577943584183e-06;1.3804137779516168e-06;4.186723003840598e-07
