epoch;loss;mean_squared_logarithmic_error;val_loss;val_mean_squared_logarithmic_error
0;0.0001098605862352997;6.522602052427828e-05;3.6881726828141836e-07;2.3050702679938695e-07
1;1.968416427189368e-06;1.85566875643417e-06;2.396625404799124e-07;1.4563546812951245e-07
2;1.3619719538837671e-06;1.2636043038583011e-06;2.2894036533216422e-07;1.3487419892044272e-07
3;1.0534183729760116e-06;9.585771749698324e-07;2.0839655689997016e-07;1.1840756997116841e-07
4;8.900602210815123e-07;7.977238851708535e-07;2.150858335880912e-07;1.2173453001196322e-07
5;7.737882015135256e-07;6.845081657047558e-07;3.7224666016300034e-07;2.788529229746928e-07
6;6.466932518378599e-07;5.714189796890423e-07;1.886291869368506e-07;1.1821717293969414e-07
7;6.275476494010945e-07;5.580117203862756e-07;1.5290365240616666e-07;8.579905852457159e-08
8;6.119979047980451e-07;5.452768050417944e-07;1.587104065947642e-07;9.24534973023583e-08
9;5.997192715767596e-07;5.352086986931681e-07;2.329452115645836e-07;1.713612505227502e-07
10;5.89184537602705e-07;5.266525135994016e-07;1.8694484538173128e-07;1.2507155133789638e-07
11;5.527655275727739e-07;4.92844492328004e-07;1.234069770816859e-07;6.46584368269032e-08
12;5.490082912729122e-07;4.907687980448827e-07;1.2028461071622587e-07;6.222158077662243e-08
13;5.414840416051447e-07;4.846901902055833e-07;1.2121198267323052e-07;6.510293104611264e-08
14;5.441256121230253e-07;4.882905386693892e-07;1.2152592887559877e-07;6.575203315151157e-08
15;5.398595703809406e-07;4.850071491091512e-07;1.1238694952453443e-07;5.777789269245659e-08
16;5.329047780833207e-07;4.787181069332291e-07;1.1526379495307992e-07;6.125315366034556e-08
17;5.334952106750279e-07;4.796921189154091e-07;1.1721048309709658e-07;6.324756185449587e-08
18;5.257423936200212e-07;4.7219600673997775e-07;1.1747979300480438e-07;6.384786388480279e-08
19;5.313157771524857e-07;4.780038125318242e-07;1.1368823038537812e-07;6.052668055644972e-08
20;5.302209729052265e-07;4.771696353600419e-07;1.1481907336019503e-07;6.169229038732738e-08
21;5.298984433466103e-07;4.769581778418797e-07;1.164068450520972e-07;6.342892788779864e-08
22;5.265122240416531e-07;4.737566996482201e-07;1.1591475157501918e-07;6.297872090499368e-08
23;5.292450282468053e-07;4.765243772908434e-07;1.1585351700205138e-07;6.299751476035453e-08
24;5.209071787248831e-07;4.6820758825560915e-07;1.1493980878185539e-07;6.21420497282088e-08
25;5.341594828678353e-07;4.814282874576747e-07;1.1747103201287246e-07;6.459175239115211e-08
