epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.033045846968889236;0.03132109344005585;0.0017826224211603403;5.77722821617499e-05
1;0.0018934106919914484;0.00018373165221419185;0.001675439067184925;7.243426807690412e-06
2;0.0014869458973407745;1.2887118828075472e-05;0.0012066357303410769;9.289818990509957e-06
3;0.0009736213833093643;9.224205314239953e-06;0.0007402350311167538;6.779733212169958e-06
4;0.0005566489417105913;7.363458735198947e-06;0.00040644011460244656;4.276132585800951e-06
5;0.00030261476058512926;5.697569122276036e-06;0.0002117499680025503;2.8647828003158793e-06
6;0.0001529350847704336;4.416103365656454e-06;0.00010162471880903468;1.8559607042334392e-06
7;7.327537605306134e-05;3.63601247954648e-06;4.7532012104056776e-05;1.2415457604220137e-06
8;3.506729262880981e-05;2.9938826173747657e-06;2.239406603621319e-05;1.1496864544824348e-06
9;1.755675475578755e-05;2.529356379454839e-06;1.1106843885499984e-05;8.35273112897994e-07
10;9.811841664486565e-06;2.253623733849963e-06;6.179496267577633e-06;6.657336371063138e-07
11;6.374675649567507e-06;2.072180677714641e-06;4.015338618046371e-06;6.564629870808858e-07
12;5.121543381392257e-06;1.9171084204572253e-06;3.6436169921216788e-06;5.854867595189717e-07
13;4.809545316675212e-06;1.8819200704456307e-06;3.40262249665102e-06;6.003166390655679e-07
14;4.550475296127843e-06;1.8628392126629478e-06;3.2074819955596467e-06;6.283249831540161e-07
15;4.313227236707462e-06;1.8308537619304843e-06;2.9663569875992835e-06;5.797385256300913e-07
16;4.124736278754426e-06;1.8243216572955134e-06;2.820765075739473e-06;6.043640041752951e-07
17;3.978826043748995e-06;1.7999800547841005e-06;2.701578978303587e-06;5.613508164969971e-07
18;3.87958016290213e-06;1.777742227204726e-06;2.6364289169578115e-06;5.723294407289359e-07
19;3.7996053379174555e-06;1.7696598888505832e-06;2.5755903152457904e-06;5.793043555968325e-07
20;3.7319582588679623e-06;1.7671657133178087e-06;2.496452225386747e-06;5.628352255371283e-07
21;3.6528322198137175e-06;1.7521120980745764e-06;2.442449158479576e-06;5.73217619148636e-07
22;3.579581061785575e-06;1.7402429648427642e-06;2.4030528038565535e-06;5.908478897254099e-07
