actual,predicted,residuals,abs_error,percentage_error
0.37973392,0.34847188,0.03126204,0.03126204,8.232617
0.116268046,0.1477679,-0.031499855,0.031499855,27.092442
0.16881587,0.18368569,-0.014869824,0.014869824,8.808309
0.40335006,0.36410904,0.039241016,0.039241016,9.728774
0.02468477,0.10248946,-0.077804685,0.077804685,315.19296
0.114091694,0.1463967,-0.032305002,0.032305002,28.314945
0.37884408,0.34791368,0.0309304,0.0309304,8.164414
0.36028287,0.33649108,0.02379179,0.02379179,6.603642
0.067756705,0.1200313,-0.052274592,0.052274592,77.15043
0.31622103,0.3023434,0.01387763,0.01387763,4.3885856
0.22927909,0.22046994,0.008809149,0.008809149,3.8421073
0.20161907,0.20514496,-0.003525883,0.003525883,1.7487843
0.14606215,0.16774297,-0.021680817,0.021680817,14.8435545
0.20022643,0.20428956,-0.0040631294,0.0040631294,2.029267
0.48085764,0.4224456,0.058412045,0.058412045,12.147471
0.23374149,0.22258198,0.011159509,0.011159509,4.7742953
0.31158423,0.29880977,0.0127744675,0.0127744675,4.099844
0.13347574,0.1589959,-0.02552016,0.02552016,19.119698
0.017403524,0.100263655,-0.08286013,0.08286013,476.11093
0.44365093,0.39286843,0.0507825,0.0507825,11.4465
0.047346402,0.110869735,-0.06352334,0.06352334,134.16716
0.047227744,0.110703915,-0.063476175,0.063476175,134.40439
0.11087979,0.14433989,-0.033460103,0.033460103,30.176916
0.021391133,0.10146266,-0.08007153,0.08007153,374.32095
0.21714243,0.21431857,0.0028238595,0.0028238595,1.300464
0.13055763,0.15702519,-0.026467562,0.026467562,20.272701
0.009736917,0.097884834,-0.088147916,0.088147916,905.295
0.05101686,0.11240673,-0.06138987,0.06138987,120.33249
0.5187076,0.45615387,0.062553704,0.062553704,12.059531
0.4546848,0.4012473,0.0534375,0.0534375,11.752647
0.08336948,0.12807035,-0.044700876,0.044700876,53.617786
0.33037534,0.31281283,0.017562509,0.017562509,5.315926
0.24348477,0.2268459,0.01663886,0.01663886,6.8336344
0.12092948,0.15077183,-0.029842347,0.029842347,24.677477
0.28924543,0.2837338,0.0055116415,0.0055116415,1.9055241
0.39558858,0.3588668,0.036721766,0.036721766,9.282818
0.32470226,0.3081582,0.016544074,0.016544074,5.095152
0.5668233,0.4973263,0.06949699,0.06949699,12.260786
0.5910251,0.5204303,0.07059479,0.07059479,11.944465
0.06378245,0.1181435,-0.054361045,0.054361045,85.22883
0.12067012,0.15059963,-0.029929511,0.029929511,24.802752
0.21862198,0.21508628,0.0035357028,0.0035357028,1.6172675
0.25103608,0.23367758,0.017358497,0.017358497,6.9147415
0.5993988,0.52879405,0.07060474,0.07060474,11.77926
0.33262032,0.31466213,0.017958194,0.017958194,5.399007
0.04814559,0.11120772,-0.06306213,0.06306213,130.98213
0.5290194,0.46469447,0.064324945,0.064324945,12.159279
0.5364086,0.4707198,0.06568879,0.06568879,12.246036
0.28136623,0.27198493,0.009381294,0.009381294,3.3341932
0.3924646,0.3568245,0.03564012,0.03564012,9.081104
0.29603347,0.2914163,0.0046171844,0.0046171844,1.5596832
0.18780394,0.1961764,-0.008372456,0.008372456,4.4580827
0.23719262,0.22417596,0.013016656,0.013016656,5.4877996
0.22222184,0.2169589,0.005262941,0.005262941,2.3683274
0.2666108,0.25364575,0.012965053,0.012965053,4.862914
0.22134905,0.21649154,0.0048575103,0.0048575103,2.1945024
0.5279735,0.46383634,0.06413713,0.06413713,12.147794
0.5698891,0.5001216,0.069767535,0.069767535,12.242299
0.06855852,0.1204554,-0.051896878,0.051896878,75.69718
0.1813455,0.19190337,-0.010557875,0.010557875,5.8219666
0.05839125,0.11565937,-0.05726812,0.05726812,98.07652
0.39121786,0.35597104,0.03524682,0.03524682,9.009512
0.0018012914,0.095665425,-0.093864135,0.093864135,5210.9067
0.362144,0.3376224,0.02452159,0.02452159,6.7712264
0.31699097,0.30280796,0.014183015,0.014183015,4.474264
0.5895278,0.51891047,0.07061732,0.07061732,11.978624
0.457678,0.40354136,0.054136634,0.054136634,11.828542
0.5886724,0.51805025,0.070622146,0.070622146,11.99685
0.49175203,0.43199223,0.059759796,0.059759796,12.152425
0.36742336,0.34080166,0.0266217,0.0266217,7.245511
0.48436737,0.4255036,0.05886376,0.05886376,12.152709
0.52318084,0.45993403,0.06324682,0.06324682,12.0889015
0.36481276,0.33922663,0.025586128,0.025586128,7.013496
0.339741,0.32061628,0.019124717,0.019124717,5.6292048
0.15650983,0.17529103,-0.0187812,0.0187812,12.000011
0.32514283,0.3085152,0.01662764,0.01662764,5.1139493
