Epoch,Learning Rate,Training Loss,Validation Loss,Loss Difference
1,0.0002557125990279019,0.13566026091575623,0.008062517270445824,0.1275977436453104
2,0.0002557125990279019,0.0025699958205223083,0.0019501704955473542,0.0006198253249749541
3,0.0002557125990279019,0.00047392447595484555,0.0003220865619368851,0.00015183791401796043
4,0.0002557125990279019,0.0002768506237771362,0.0002402697573415935,3.65808664355427e-05
5,0.0002557125990279019,0.0002147431659977883,0.0003377965185791254,-0.0001230533525813371
6,0.0002557125990279019,0.00016429061361122876,0.00023182031873147935,-6.752970512025058e-05
7,0.0002557125990279019,0.0001285138278035447,0.00019854861602652818,-7.003478822298348e-05
8,0.0002557125990279019,0.00010341373854316771,0.00012207705003675073,-1.8663311493583024e-05
9,0.0002557125990279019,8.960138802649453e-05,6.877506530145183e-05,2.08263227250427e-05
10,0.0002557125990279019,7.642185664735734e-05,7.952732994453982e-05,-3.1054732971824706e-06
11,0.0002557125990279019,6.529965321533382e-05,0.00011267342779319733,-4.7373774577863514e-05
12,0.0002557125990279019,5.8388970501255244e-05,4.98679764859844e-05,8.520994015270844e-06
13,0.0002557125990279019,5.233867705101147e-05,0.00010464059596415609,-5.230191891314462e-05
14,0.00012785629951395094,5.362812225939706e-05,3.991082121501677e-05,1.3717301044380292e-05
15,0.00012785629951395094,3.3270091080339625e-05,0.00011269539390923455,-7.942530282889493e-05
16,0.00012785629951395094,2.8713562642224133e-05,2.885956382669974e-05,-1.4600118447560817e-07
17,0.00012785629951395094,2.5813498723437078e-05,4.098825593246147e-05,-1.5174757209024392e-05
18,0.00012785629951395094,2.3835094907553867e-05,2.7122046958538704e-05,-3.286952050984837e-06
19,6.392814975697547e-05,2.2620375602855347e-05,2.8079342882847413e-05,-5.458967279992066e-06
20,6.392814975697547e-05,1.7794163795770146e-05,1.854184847616125e-05,-7.47684680391103e-07
21,6.392814975697547e-05,1.7401398508809507e-05,1.714579229883384e-05,2.556062099756673e-07
22,6.392814975697547e-05,1.6831547327456065e-05,1.8563296180218458e-05,-1.7317488527623937e-06
23,6.392814975697547e-05,1.6391421013395302e-05,1.6667925592628308e-05,-2.7650457923300564e-07
24,3.1964074878487736e-05,1.589478415553458e-05,2.0248904547770508e-05,-4.354120392235927e-06
25,3.1964074878487736e-05,1.4221269339032006e-05,1.6995438272715546e-05,-2.7741689336835407e-06
26,3.1964074878487736e-05,1.4031412320036907e-05,1.616913141333498e-05,-2.137719093298074e-06
27,3.1964074878487736e-05,1.3691093954548705e-05,1.642771348997485e-05,-2.7366195354261436e-06
28,3.1964074878487736e-05,1.3411575309874024e-05,1.4382953850144986e-05,-9.713785402709618e-07
29,1.5982037439243868e-05,1.3175605090509634e-05,1.742386848491151e-05,-4.248263394401874e-06
30,1.5982037439243868e-05,1.2498321666498668e-05,1.5659950804547407e-05,-3.1616291380487382e-06
31,1.5982037439243868e-05,1.2382643944874872e-05,1.2737772522086743e-05,-3.5512857721187174e-07
32,1.5982037439243868e-05,1.2254432476765942e-05,1.4231722161639482e-05,-1.97728968487354e-06
33,1.5982037439243868e-05,1.2151943337812554e-05,1.2997753401577938e-05,-8.458100637653843e-07
34,7.991018719621934e-06,1.2030981451971456e-05,1.3260580999485683e-05,-1.2295995475142263e-06
35,7.991018719621934e-06,1.1699654351104982e-05,1.3929921806266066e-05,-2.2302674551610835e-06
36,7.991018719621934e-06,1.1641770470305346e-05,1.315767349296948e-05,-1.5159030226641335e-06
